Kingdom,KingdomC,Phylum,PhylumC,Class,ClassC,Order,OrderC,Family,FamilyC,Genus,GenusC,Species,ScientificName,CommonNameC,CoaCode,CoaCType
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Balaenopteridae,鬚鯨科,Balaenoptera,鬚鯨屬,brydei,Balaenoptera brydei,布氏鯨,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Balaenopteridae,鬚鯨科,Balaenoptera,鬚鯨屬,borealis,Balaenoptera borealis,鰮鯨,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Balaenopteridae,鬚鯨科,Balaenoptera,鬚鯨屬,acutorostrata,Balaenoptera acutorostrata,小鬚鯨,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Amphibia,兩生綱,Anura,無尾目,Ranidae,赤蛙科,Babina,拇棘蛙屬,okinavana,Babina okinavana,豎琴蛙,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Aviceda,鵑隼屬,leuphotes,Aviceda leuphotes syama,黑冠鵑隼,II,珍貴稀有
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Lepidoptera,鱗翅目,Papilionidae,鳳蝶科,Atrophaneura,曙鳳蝶屬,horishana,Atrophaneura horishana,曙鳳蝶;桃紅鳳蝶,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Strigiformes,鴞形目,Strigidae,鴟鴞科,Athene,小鴞屬,noctua,Athene noctua plumipes,縱紋腹小鴞,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Strigiformes,鴞形目,Strigidae,鴟鴞科,Asio,耳鴞屬,otus,Asio otus otus,長耳鴞;長耳虎斑鴞,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Strigiformes,鴞形目,Strigidae,鴟鴞科,Asio,耳鴞屬,flammeus,Asio flammeus flammeus,短耳鴞;短耳虎斑鴞,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Galliformes,雞形目,Phasianidae,雉科,Arborophila,山鷓鴣屬,crudigularis,Arborophila crudigularis,臺灣山鷓鴣;深山竹雞,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Aquila,鵰屬,heliaca,Aquila heliaca,白肩鵰,I,瀕臨滅絕
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Coleoptera,鞘翅目,Lampyridae,螢科,Aquatica,水螢屬,hydrophila,Aquatica hydrophila,黃胸黑翅螢,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Charadriiformes,鴴形目,Laridae,鷗科,Anous,玄燕鷗屬,stolidus,Anous stolidus pileatus,白頂玄燕鷗;玄燕鷗,II,珍貴稀有
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Odonata,蜻蛉目,Cordulegastridae,勾蜓科,Anotogaster,,klossi,Anotogaster klossi,無霸勾蜓,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Anseriformes,雁形目,Anatidae,雁鴨科,Anas,鴨屬,formosa,Anas formosa,巴鴨;花臉鴨,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Colubridae,黃頷蛇科,Amphiesma,腹鏈蛇屬,miyajimae,Amphiesma miyajimae,金絲蛇;臺北游蛇;臺北腹鏈蛇,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Anseriformes,雁形目,Anatidae,雁鴨科,Aix,鴛鴦屬,galericulata,Aix galericulata,鴛鴦,II,珍貴稀有
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Lepidoptera,鱗翅目,Papilionidae,鳳蝶科,Agehana,寬尾鳳蝶屬,maraho,Agehana maraho,臺灣寬尾鳳蝶;寬尾鳳蝶,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Aegypius,禿鷲屬,monachus,Aegypius monachus,禿鷲,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Leiothrichidae,噪眉科,Actinodura,斑翅鶥屬,morrisoniana,Actinodura morrisoniana,紋翼畫眉;臺灣斑翅鶥;栗頭斑翅鶥,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Sturnidae,椋鳥科,Acridotheres,八哥屬,cristatellus,Acridotheres cristatellus formosanus,八哥;冠八哥;土八哥,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Accipiter,鷹屬,virgatus,Accipiter virgatus fuscipectus,松雀鷹;台灣松雀鷹,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Accipiter,鷹屬,trivirgatus,Accipiter trivirgatus formosae,鳳頭蒼鷹,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Accipiter,鷹屬,soloensis,Accipiter soloensis,赤腹鷹,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Accipiter,鷹屬,nisus,Accipiter nisus fujiyamae,北雀鷹;雀鷹,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Accipiter,鷹屬,gularis,Accipiter gularis gularis,日本松雀鷹;北方松雀鷹,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Accipitriformes,鷹形目,Accipitridae,鷹科,Accipiter,鷹屬,gentilis,Accipiter gentilis fujiyamae,蒼鷹,II,珍貴稀有
